taxa_name,Common Name,Scientific Name,PHYLUM,CLASS,ORDER,FAMILY,GENUS,Temp,Trophic class,Tolerance,Stream flow,Origin
Morone americana,White perch,Morone americana,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MORONIDAE,MORONE,C-W,TC,M,MG,N
Morone saxatilis,Striped bass,Morone saxatilis,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MORONIDAE,MORONE,W,TC,T,FD,N
Mugil cephalus,Striped mullet,Mugil cephalus,CHORDATA,ACTINOPTERYGII,MUGILIFORMES,MUGILIDAE,MUGIL,,,,,
Mugil curema,White mullet,Mugil curema,CHORDATA,ACTINOPTERYGII,MUGILIFORMES,MUGILIDAE,MUGIL,,,,,
Mullus auratus,RED GOATFISH,Mullus auratus,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MULLIDAE,MULLUS,,,,,
Mustelus canis,SMOOTH DOGFISH,Mustelus canis,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,MUSTELUS,,,,,
Myoxocephalus aeneus,GRUBBY,Myoxocephalus aeneus,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,COTTIDAE,MYOXOCEPHALUS,,,,,
Myoxocephalus octodecemspinosus,Longhorn sculpin,Myoxocephalus octodecemspinosus,CHORDATA,ACTINOPTERYGII,SCORPAENIFORMES,COTTIDAE,MYOXOCEPHALUS,,,,,
Notemigonus crysoleucas,Golden shiner,Notemigonus crysoleucas,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,NOTEMIGONUS,W,GF,T,MG,N
Notropis bifrenatus,Bridled shiner,Notropis bifrenatus,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,NOTROPIS,,,,,
Notropis hudsonius,Spottail shiner,Notropis hudsonius,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,NOTROPIS,W,WC,M,MG,N
